sequence,type,scope,path,enterprise_entry_rows,closing_stock_rows,daily_sales_rows,import_mode
1,weekly_delta,Week 1,weekly-deltas/week_01/ABNAH_DataBridge_Weekly_Delta.xlsx,6,5,7,Do not use for cumulative replace
2,weekly_delta,Week 2,weekly-deltas/week_02/ABNAH_DataBridge_Weekly_Delta.xlsx,6,5,7,Do not use for cumulative replace
3,weekly_delta,Week 3,weekly-deltas/week_03/ABNAH_DataBridge_Weekly_Delta.xlsx,6,5,7,Do not use for cumulative replace
4,cumulative,Week 1,cumulative-refresh/step_01_week_01/ABNAH_DataBridge_Current.xlsx,6,5,7,Delete existing records and add
5,cumulative,Weeks 1-2,cumulative-refresh/step_02_weeks_01_02/ABNAH_DataBridge_Current.xlsx,12,10,14,Delete existing records and add
6,cumulative,Weeks 1-3,cumulative-refresh/step_03_weeks_01_03/ABNAH_DataBridge_Current.xlsx,18,15,21,Delete existing records and add
7,live_drop,Starts at Week 1,live-drop/ABNAH_DataBridge_Current.xlsx,6,5,7,Delete existing records and add
